date,close,high,low,open,priceChange
2008-06-17,"2,794.751","2,893.471","2,769.118","2,874.103",-79.352
2008-06-16,"2,874.103","2,917.81","2,811.716","2,868.8",5.303
2008-06-13,"2,868.8","2,976.45","2,865.5","2,957.532",-88.732
2008-06-12,"2,957.532","3,031.064","2,900.116","3,024.24",-66.708
2008-06-11,"3,024.24","3,064.2","2,992.351","3,072.333",-48.093
2008-06-10,"3,072.333","3,215.501","3,045.058","3,329.67",-257.337
2008-06-06,"3,329.67","3,371.283","3,312.721","3,351.645",-21.975
2008-06-05,"3,351.645","3,376.341","3,326.537","3,369.913",-18.268
2008-06-04,"3,369.913","3,428.467","3,341.739","3,436.398",-66.485
2008-06-03,"3,436.398","3,469.063","3,409.226","3,459.044",-22.646
2008-06-02,"3,459.044","3,483.61","3,400.723","3,433.354",25.69
2008-05-30,"3,433.354","3,450.493","3,390.883","3,401.437",31.917
2008-05-29,"3,401.437","3,481.734","3,400.773","3,459.026",-57.589
2008-05-28,"3,459.026","3,486.332","3,354.254","3,375.407",83.619
2008-05-27,"3,375.407","3,383.679","3,333.951","3,364.544",10.863
2008-05-26,"3,364.544","3,443.988","3,361.985","3,473.091",-108.547
2008-05-23,"3,473.091","3,521.393","3,435.841","3,485.63",-12.539
2008-05-22,"3,485.63","3,558.019","3,469.792","3,544.186",-58.556
2008-05-21,"3,544.186","3,560.528","3,355.084","3,443.162",101.024
2008-05-20,"3,443.162","3,632.006","3,432.382","3,604.761",-161.599
2008-05-19,"3,604.761","3,624.844","3,563.609","3,624.233",-19.472
2008-05-16,"3,624.233","3,661.071","3,582.5","3,637.324",-13.091
2008-05-15,"3,637.324","3,706.722","3,636.224","3,657.432",-20.108
2008-05-14,"3,657.432","3,661.971","3,549.668","3,560.243",97.189
2008-05-13,"3,560.243","3,615.06","3,508.32","3,626.982",-66.739
2008-05-12,"3,626.982","3,668.857","3,521.878","3,613.494",13.488
2008-05-09,"3,613.494","3,693.16","3,552.473","3,656.839",-43.345
2008-05-08,"3,656.839","3,658.047","3,523.025","3,579.147",77.692
2008-05-07,"3,579.147","3,774.066","3,577.991","3,733.503",-154.356
2008-05-06,"3,733.503","3,786.024","3,680.99","3,761.009",-27.506
2008-05-05,"3,761.009","3,768.216","3,696.697","3,693.106",67.903
2008-04-30,"3,693.106","3,705.093","3,543.019","3,523.405",169.701
2008-04-29,"3,523.405","3,544.229","3,453.279","3,474.722",48.683
2008-04-28,"3,474.722","3,530.905","3,460.255","3,557.749",-83.027
2008-04-25,"3,557.749","3,658.551","3,527.838","3,583.028",-25.279
2008-04-24,"3,583.028","3,593.197","3,461.643","3,278.33",304.698
2008-04-23,"3,278.33","3,296.717","3,089.893","3,147.793",130.537
2008-04-22,"3,147.793","3,148.731","2,990.788","3,116.977",30.816
2008-04-21,"3,116.977","3,305.168","3,073.563","3,094.668",22.309
2008-04-18,"3,094.668","3,203.71","3,078.174","3,222.741",-128.073
2008-04-17,"3,222.741","3,352.951","3,180.199","3,291.599",-68.858
2008-04-16,"3,291.599","3,363.216","3,283.078","3,348.353",-56.754
2008-04-15,"3,348.353","3,349.76","3,212.15","3,296.672",51.681
2008-04-14,"3,296.672","3,427.884","3,285.298","3,492.893",-196.221
2008-04-11,"3,492.893","3,517.818","3,462.136","3,471.743",21.15
2008-04-10,"3,471.743","3,474.312","3,344.87","3,413.907",57.836
2008-04-09,"3,413.907","3,606.887","3,413.072","3,612.539",-198.632
2008-04-08,"3,612.539","3,656.961","3,563.85","3,599.618",12.921
2008-04-07,"3,599.618","3,613.48","3,386.512","3,446.244",153.374
2008-04-03,"3,446.244","3,456.948","3,271.29","3,347.882",98.362
2008-04-02,"3,347.882","3,464.531","3,283.64","3,329.162",18.72
2008-04-01,"3,329.162","3,493.133","3,308.902","3,472.713",-143.551
2008-03-31,"3,472.713","3,555.824","3,445.556","3,580.146",-107.433
2008-03-28,"3,580.146","3,590.753","3,357.229","3,411.493",168.653
2008-03-27,"3,411.493","3,541.276","3,407.896","3,606.857",-195.364
2008-03-26,"3,606.857","3,698.325","3,591.108","3,629.619",-22.762
2008-03-25,"3,629.619","3,659.21","3,521.528","3,626.188",3.431
2008-03-24,"3,626.188","3,840.479","3,624.936","3,796.576",-170.388
2008-03-21,"3,796.576","3,838.058","3,746.395","3,804.054",-7.478
2008-03-20,"3,804.054","3,857.62","3,516.33","3,761.605",42.449
2008-03-19,"3,761.605","3,813.885","3,677.817","3,668.897",92.708
2008-03-18,"3,668.897","3,862.772","3,607.25","3,820.048",-151.151
2008-03-17,"3,820.048","3,941.258","3,812.999","3,962.673",-142.625
2008-03-14,"3,962.673","4,000.78","3,891.7","3,971.257",-8.584
2008-03-13,"3,971.257","4,055.446","3,902.248","4,070.116",-98.859
2008-03-12,"4,070.116","4,272.979","4,068.781","4,165.878",-95.762
2008-03-11,"4,165.878","4,165.915","4,063.47","4,146.299",19.579
2008-03-10,"4,146.299","4,265.611","4,120.53","4,300.515",-154.216
2008-03-07,"4,300.515","4,341.295","4,265.829","4,360.986",-60.471
2008-03-06,"4,360.986","4,427.498","4,260.787","4,292.654",68.332
2008-03-05,"4,292.654","4,352.822","4,210.963","4,335.446",-42.792
2008-03-04,"4,335.446","4,472.151","4,321.266","4,438.265",-102.819
2008-03-03,"4,438.265","4,456.963","4,279.345","4,348.543",89.722
2008-02-29,"4,348.543","4,364.814","4,275.899","4,299.513",49.03
2008-02-28,"4,299.513","4,344.926","4,265.498","4,334.047",-34.534
2008-02-27,"4,334.047","4,360.7","4,222.459","4,238.179",95.868
2008-02-26,"4,238.179","4,331.64","4,123.305","4,192.533",45.646
2008-02-25,"4,192.533","4,391.333","4,182.774","4,370.285",-177.752
2008-02-22,"4,370.285","4,500.385","4,333.033","4,527.177",-156.892
2008-02-21,"4,527.177","4,568.208","4,452.675","4,567.026",-39.849
2008-02-20,"4,567.026","4,695.802","4,556.814","4,664.295",-97.269
2008-02-19,"4,664.295","4,665.554","4,544.944","4,568.151",96.144
2008-02-18,"4,568.151","4,601.224","4,517.596","4,497.127",71.024
2008-02-15,"4,497.127","4,523.792","4,431.463","4,552.316",-55.189
2008-02-14,"4,552.316","4,576.983","4,507.943","4,490.721",61.595
2008-02-13,"4,490.721","4,547.539","4,454.642","4,599.696",-108.975
2008-02-05,"4,599.696","4,662.971","4,550.429","4,672.17",-72.474
2008-02-04,"4,672.17","4,672.214","4,415.023","4,320.767",351.403
2008-02-01,"4,320.767","4,411.704","4,195.753","4,383.393",-62.626
2008-01-31,"4,383.393","4,487.318","4,368.296","4,417.849",-34.456
2008-01-30,"4,417.849","4,554.343","4,330.697","4,457.944",-40.095
2008-01-29,"4,457.944","4,517.601","4,389.517","4,419.294",38.65
2008-01-28,"4,419.294","4,720.564","4,409.079","4,761.688",-342.394
2008-01-25,"4,761.688","4,806.889","4,657.709","4,717.734",43.954
2008-01-24,"4,717.734","4,767.799","4,625.46","4,703.047",14.687
2008-01-23,"4,703.047","4,705.073","4,510.504","4,559.751",143.296
2008-01-22,"4,559.751","4,817.997","4,511.953","4,914.435",-354.684
2008-01-21,"4,914.435","5,200.926","4,891.285","5,180.514",-266.079
2008-01-18,"5,180.514","5,187.605","5,093.134","5,151.626",28.888
2008-01-17,"5,151.626","5,312.287","5,039.786","5,290.606",-138.98
2008-01-16,"5,290.606","5,396.044","5,288.765","5,443.791",-153.185
2008-01-15,"5,443.791","5,505.035","5,405.595","5,497.901",-54.11
2008-01-14,"5,497.901","5,522.778","5,456.929","5,484.677",13.224
