city,日期,AQI,范围,质量等级,PM2.5,PM10,SO2,CO,NO2,O3,排名
成都,2015/4/3,82,59~108,良,44.4,88.5,10,0.707,40.2,204,256
成都,2015/4/4,62,45~76,良,29.7,70.4,12,0.589,30.8,118,168
成都,2015/4/5,44,30~63,优,20.4,43,4.7,0.588,22.5,103,93
成都,2015/4/6,38,29~48,优,14.4,30.6,12.8,0.65,27.3,109,78
成都,2015/4/7,44,37~58,优,21.5,37,8.2,0.638,24.1,129,145
成都,2015/4/8,51,41~63,良,33.3,52,4.6,0.849,36.3,76,154
成都,2015/4/9,49,37~65,优,31.6,49.8,5,0.899,43.3,119,105
成都,2015/4/10,51,42~61,良,29.7,51.4,7.2,0.747,37.5,124,104
成都,2015/4/11,64,42~87,良,40,67,8.8,0.818,46.3,133,143
成都,2015/4/12,75,57~94,良,43.8,83.4,10.2,0.765,41.5,165,226
成都,2015/4/13,102,74~142,轻度污染,68.5,149.2,24,1.128,70.7,161,320
成都,2015/4/14,111,95~134,轻度污染,76.2,169.9,23.6,0.999,67.9,172,317
成都,2015/4/15,116,84~138,轻度污染,79.3,137.9,13.3,0.997,50.4,187,284
成都,2015/4/16,140,110~189,轻度污染,93.1,187.6,18.3,1.375,72,245,306
成都,2015/4/17,118,73~147,轻度污染,76.9,150.7,18.1,1.052,53.6,208,257
成都,2015/4/18,80,54~96,良,54,102.5,16.4,0.84,31.9,90,188
成都,2015/4/19,54,47~70,良,25.6,56.9,11.6,0.66,36.9,73,132
成都,2015/4/20,71,57~93,良,45.5,89.2,25.1,0.899,54.1,120,239
成都,2015/4/21,57,29~71,良,31.9,63.5,19.2,0.689,50,90,135
成都,2015/4/22,51,29~75,良,23.5,49,7.6,0.684,47.9,95,88
成都,2015/4/23,69,59~89,良,45.8,83,15,0.798,53.2,119,155
成都,2015/4/24,78,56~111,良,48.4,83.3,13.5,0.742,41.6,194,185
成都,2015/4/25,80,66~93,良,54.5,96,9,0.873,58.2,191,180
成都,2015/4/26,117,93~141,轻度污染,86.3,145.2,12,1.179,71.4,206,302
成都,2015/4/27,145,107~199,轻度污染,99.5,172.4,27,1.288,66.8,256,344
成都,2015/4/28,150,108~213,中度污染,103,171.1,23.8,1.14,70,231,344
成都,2015/4/29,146,89~219,轻度污染,99.3,173.4,23,1.339,80.1,206,332
成都,2015/4/30,124,72~202,轻度污染,88.5,159.5,22.7,1.143,72.5,188,283
武汉,2015/4/1,83,76~89,良,59.6,105,28,1.578,51.4,76,279
武汉,2015/4/2,36,14~75,优,22.4,35.7,18.5,1.153,36.8,51,71
武汉,2015/4/3,79,53~95,良,43,101.8,29.5,1.39,48.5,60,249
武汉,2015/4/4,61,53~75,良,42.8,40,13.9,1.323,29.1,70,165
武汉,2015/4/5,73,37~109,良,52.3,46.9,8.3,1.12,24,104,206
武汉,2015/4/6,101,43~177,轻度污染,74.8,57.3,9.8,1.144,26,102,287
武汉,2015/4/7,70,39~154,良,49.3,66.8,9.4,0.775,21.6,90,243
武汉,2015/4/8,55,38~67,良,37.7,49,15.1,0.878,36.7,92,178
武汉,2015/4/9,71,56~85,良,50.6,76.9,22.9,0.956,52.7,102,236
武汉,2015/4/10,95,75~135,良,69.1,110.7,20.3,1.094,63.9,123,283
武汉,2015/4/11,124,71~150,轻度污染,89.6,163.2,30.3,1.689,87.3,168,323
武汉,2015/4/12,96,61~141,良,46,122.3,17.3,0.657,41.8,127,289
武汉,2015/4/13,78,58~106,良,27.6,104.4,16.5,0.549,42.5,130,260
武汉,2015/4/14,84,62~119,良,45.4,113.8,22.2,0.627,48.8,158,234
武汉,2015/4/15,107,86~128,轻度污染,72.7,144.5,31.8,1.17,78.9,43,261
武汉,2015/4/16,110,82~138,轻度污染,75.3,138.3,25.1,1.249,54.4,106,251
武汉,2015/4/17,117,105~129,轻度污染,75.7,180.9,28.6,1.111,56.1,84,267
武汉,2015/4/18,109,98~132,轻度污染,81.6,147.9,28.4,1.286,63.9,82,273
武汉,2015/4/19,38,23~70,优,22.2,24.1,9.1,0.941,22.6,86,54
武汉,2015/4/20,47,35~75,优,27,42.5,12.1,0.684,27.5,106,105
武汉,2015/4/21,74,64~92,良,49.5,90.6,15.8,0.888,61.9,140,235
武汉,2015/4/22,88,67~159,良,55.7,121.5,19.9,0.9,79.2,154,262
武汉,2015/4/23,118,69~166,轻度污染,75.5,182,25.3,1.223,87.6,162,299
武汉,2015/4/24,110,93~139,轻度污染,79.4,151.1,22.2,1.088,77.3,104,301
武汉,2015/4/25,142,103~178,轻度污染,101.8,197.3,24.1,1.516,82.8,219,326
武汉,2015/4/26,129,78~174,轻度污染,83.3,187.1,23.8,1.308,80.6,188,302
武汉,2015/4/27,94,72~137,良,63.7,130.6,20,0.86,48.8,153,247
武汉,2015/4/28,79,57~109,良,51.1,89,16.2,0.836,35.1,124,210
武汉,2015/4/29,112,71~181,轻度污染,74.4,134.9,16.4,1.008,31.1,171,285
武汉,2015/4/30,102,80~134,轻度污染,57.5,142,23.2,1.026,56,228,264
